Date,Value
1981-01-01,8
1982-01-01,58
1986-01-01,-34
1987-01-01,-22
1988-01-01,-29
1989-01-01,22
1990-01-01,-99
1991-01-01,102
1992-01-01,-64
1993-01-01,-3
1994-01-01,-43
1995-01-01,81
1996-01-01,-12
1997-01-01,22
1998-01-01,24
1999-01-01,32
2000-01-01,7
2001-01-01,25
2002-01-01,-3
2003-01-01,55
2004-01-01,4
2005-01-01,18
2006-01-01,13
2007-01-01,-25
2008-01-01,14
2009-01-01,-29
2010-01-01,-7
2011-01-01,-24
2012-01-01,7
2013-01-01,-10
2014-01-01,-2
2015-01-01,4
2016-01-01,77
2017-01-01,5
2018-01-01,-6
2019-01-01,0
2020-01-01,-3
2021-01-01,-20
