Date,Value
1977-01-01,3301.0
1978-01-01,4579.0
1979-01-01,2566.0
1980-01-01,2577.0
1981-01-01,2998.0
1982-01-01,3419.0
1983-01-01,2965.0
1984-01-01,2686.0
1985-01-01,2960.0
1986-01-01,1771.0
1987-01-01,1499.0
1988-01-01,1909.0
1989-01-01,2243.0
1990-01-01,2412.0
1991-01-01,1604.0
1992-01-01,1724.0
1993-01-01,1866.0
1994-01-01,3480.0
1995-01-01,2452.0
1996-01-01,3110.0
1997-01-01,2382.0
1998-01-01,2162.0
1999-01-01,2196.0
2000-01-01,2368.0
2001-01-01,2800.0
2002-01-01,1694.0
2003-01-01,1610.0
2004-01-01,1206.0
2005-01-01,1208.0
2006-01-01,1155.0
2007-01-01,1188.0
2008-01-01,1622.0
2009-01-01,2598.0
2010-01-01,1668.0
2011-01-01,1227.0
2012-01-01,376.0
2013-01-01,1566.0
2014-01-01,2562.0
2015-01-01,1631.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
