Date,Value
1977-01-01,55
1978-01-01,107
1979-01-01,71
1980-01-01,45
1981-01-01,75
1982-01-01,226
1983-01-01,179
1984-01-01,176
1985-01-01,88
1986-01-01,192
1987-01-01,153
1988-01-01,130
1989-01-01,181
1990-01-01,163
1991-01-01,88
1992-01-01,121
1993-01-01,64
1994-01-01,55
1995-01-01,73
1996-01-01,87
1997-01-01,66
1998-01-01,177
1999-01-01,165
2000-01-01,84
2001-01-01,70
2002-01-01,89
2003-01-01,67
2004-01-01,48
2005-01-01,57
2006-01-01,96
2007-01-01,53
2008-01-01,108
2009-01-01,92
2010-01-01,77
2011-01-01,105
2012-01-01,91
2013-01-01,39
2014-01-01,82
2015-01-01,47
2016-01-01,30
2017-01-01,22
2018-01-01,14
2019-01-01,3
2020-01-01,25
2021-01-01,103
