Date,Value
1989-01-01,3686
1990-01-01,4471
1991-01-01,4839
1992-01-01,5161
1993-01-01,4989
1994-01-01,4928
1995-01-01,5533
1996-01-01,5907
1997-01-01,6444
1998-01-01,5734
1999-01-01,6597
2000-01-01,-79367
2001-01-01,-64541
2002-01-01,-45595
2003-01-01,-60675
2004-01-01,-38634
2005-01-01,-45349
2006-01-01,-30419
2007-01-01,-66082
2008-01-01,-50407
2009-01-01,-76407
2010-01-01,-108332
2011-01-01,-78658
2012-01-01,991
2013-01-01,22985
2014-01-01,-15091
2015-01-01,21061
2016-01-01,35556
2017-01-01,25741
2018-01-01,41824
2019-01-01,59706
2020-01-01,59280
2021-01-01,65492
2022-01-01,72000
2023-01-01,86278
2024-01-01,99149
