Date,Value
1973-01-01,
1973-02-01,
1973-03-01,
1973-04-01,
1973-05-01,
1973-06-01,
1973-07-01,
1973-08-01,
1973-09-01,
1973-10-01,
1973-11-01,
1973-12-01,
1974-01-01,
1974-02-01,
1974-03-01,
1974-04-01,
1974-05-01,
1974-06-01,
1974-07-01,
1974-08-01,
1974-09-01,
1974-10-01,
1974-11-01,
1974-12-01,
1975-01-01,
1975-02-01,
1975-03-01,
1975-04-01,
1975-05-01,
1975-06-01,
1975-07-01,
1975-08-01,
1975-09-01,
1975-10-01,
1975-11-01,
1975-12-01,
1976-01-01,
1976-02-01,
1976-03-01,
1976-04-01,
1976-05-01,
1976-06-01,
1976-07-01,
1976-08-01,
1976-09-01,
1976-10-01,
1976-11-01,
1976-12-01,
1977-01-01,
1977-02-01,
1977-03-01,
1977-04-01,
1977-05-01,
1977-06-01,
1977-07-01,
1977-08-01,
1977-09-01,
1977-10-01,
1977-11-01,
1977-12-01,
1978-01-01,
1978-02-01,
1978-03-01,
1978-04-01,
1978-05-01,
1978-06-01,
1978-07-01,
1978-08-01,
1978-09-01,
1978-10-01,
1978-11-01,
1978-12-01,
1979-01-01,
1979-02-01,
1979-03-01,
1979-04-01,
1979-05-01,
1979-06-01,
1979-07-01,
1979-08-01,
1979-09-01,
1979-10-01,
1979-11-01,
1979-12-01,
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,352.0
1987-09-01,364.0
1987-10-01,377.0
1987-11-01,386.0
1987-12-01,403.0
1988-01-01,391.0
1988-02-01,375.0
1988-03-01,338.0
1988-04-01,316.0
1988-05-01,300.0
1988-06-01,309.0
1988-07-01,309.0
1988-08-01,335.0
1988-09-01,390.0
1988-10-01,377.0
1988-11-01,406.0
1988-12-01,397.0
1989-01-01,364.0
1989-02-01,347.0
1989-03-01,325.0
1989-04-01,322.0
1989-05-01,311.0
1989-06-01,357.0
1989-07-01,386.0
1989-08-01,438.0
1989-09-01,484.0
1989-10-01,482.0
1989-11-01,498.0
1989-12-01,517.0
1990-01-01,477.0
1990-02-01,412.0
1990-03-01,421.0
1990-04-01,447.0
1990-05-01,465.0
1990-06-01,495.0
1990-07-01,496.0
1990-08-01,466.0
1990-09-01,460.0
1990-10-01,469.0
1990-11-01,495.0
1990-12-01,460.0
1991-01-01,413.0
1991-02-01,405.0
1991-03-01,389.0
1991-04-01,374.0
1991-05-01,354.0
1991-06-01,342.0
1991-07-01,332.0
1991-08-01,326.0
1991-09-01,314.0
1991-10-01,330.0
1991-11-01,328.0
1991-12-01,308.0
1992-01-01,294.0
1992-02-01,277.0
1992-03-01,250.0
1992-04-01,251.0
1992-05-01,260.0
1992-06-01,260.0
1992-07-01,310.0
1992-08-01,331.0
1992-09-01,356.0
1992-10-01,399.0
1992-11-01,451.0
1992-12-01,509.0
1993-01-01,454.0
1993-02-01,334.0
1993-03-01,268.0
1993-04-01,270.0
1993-05-01,294.0
1993-06-01,327.0
1993-07-01,360.0
1993-08-01,390.0
1993-09-01,421.0
1993-10-01,411.0
1993-11-01,408.0
1993-12-01,426.0
1994-01-01,425.0
1994-02-01,405.0
1994-03-01,403.0
1994-04-01,398.0
1994-05-01,382.0
1994-06-01,408.0
1994-07-01,415.0
1994-08-01,433.0
1994-09-01,471.0
1994-10-01,467.0
1994-11-01,460.0
1994-12-01,447.0
1995-01-01,411.0
1995-02-01,375.0
1995-03-01,331.0
1995-04-01,336.0
1995-05-01,335.0
1995-06-01,352.0
1995-07-01,399.0
1995-08-01,399.0
1995-09-01,413.0
1995-10-01,414.0
1995-11-01,430.0
