Date,Value
1991-01-01,-9.6
1991-02-01,-1.2
1991-03-01,-0.2
1991-04-01,-0.3
1991-05-01,11.7
1991-06-01,15.5
1991-07-01,-0.7
1991-08-01,-11.7
1991-09-01,-15.1
1991-10-01,-9.6
1991-11-01,-30.3
1991-12-01,-11.8
1992-01-01,28.5
1992-02-01,15.1
1992-03-01,8.5
1992-04-01,3.4
1992-05-01,-5.0
1992-06-01,-12.7
1992-07-01,-9.9
1992-08-01,2.5
1992-09-01,1.5
1992-10-01,-8.0
1992-11-01,-9.4
1992-12-01,-25.3
1993-01-01,-41.2
1993-02-01,-47.7
1993-03-01,-48.5
1993-04-01,-45.3
1993-05-01,-8.3
1993-06-01,9.0
1993-07-01,10.7
1993-08-01,8.6
1993-09-01,12.8
1993-10-01,12.5
1993-11-01,19.4
1993-12-01,24.0
1994-01-01,18.1
1994-02-01,26.1
1994-03-01,43.8
1994-04-01,52.2
1994-05-01,5.8
1994-06-01,-5.9
1994-07-01,0.7
1994-08-01,2.1
1994-09-01,-3.5
1994-10-01,-1.6
1994-11-01,-3.1
1994-12-01,-2.4
1995-01-01,11.9
1995-02-01,13.5
1995-03-01,-4.5
1995-04-01,-4.2
1995-05-01,-1.5
1995-06-01,9.2
1995-07-01,0.7
1995-08-01,-15.7
1995-09-01,-6.0
1995-10-01,2.8
1995-11-01,7.5
1995-12-01,-0.5
1996-01-01,-22.8
1996-02-01,-19.2
1996-03-01,-23.4
1996-04-01,-13.2
1996-05-01,-16.5
1996-06-01,-13.8
1996-07-01,-4.8
1996-08-01,7.7
1996-09-01,-4.5
1996-10-01,-10.7
1996-11-01,-22.9
1996-12-01,-23.0
1997-01-01,-0.9
1997-02-01,-1.0
1997-03-01,19.1
1997-04-01,6.4
1997-05-01,12.1
1997-06-01,9.5
1997-07-01,-2.4
1997-08-01,2.6
1997-09-01,9.6
1997-10-01,12.4
1997-11-01,23.3
1997-12-01,28.2
1998-01-01,26.0
1998-02-01,30.6
1998-03-01,4.0
1998-04-01,18.0
1998-05-01,34.9
1998-06-01,19.3
1998-07-01,33.7
1998-08-01,29.6
1998-09-01,20.8
1998-10-01,18.7
1998-11-01,25.3
1998-12-01,28.3
1999-01-01,24.5
1999-02-01,25.4
1999-03-01,34.9
1999-04-01,2.7
1999-05-01,-10.6
1999-06-01,6.6
1999-07-01,-7.1
1999-08-01,-8.8
1999-09-01,-3.6
1999-10-01,-10.1
1999-11-01,-7.8
1999-12-01,-15.6
2000-01-01,-27.4
2000-02-01,-32.1
2000-03-01,-36.9
2000-04-01,-35.2
2000-05-01,-36.7
2000-06-01,-38.0
2000-07-01,-27.5
2000-08-01,-33.9
2000-09-01,-28.0
2000-10-01,-10.0
2000-11-01,-30.1
2000-12-01,-44.5
2001-01-01,-9.0
2001-02-01,-26.3
2001-03-01,-15.9
2001-04-01,9.2
2001-05-01,34.4
2001-06-01,34.6
2001-07-01,22.6
2001-08-01,32.9
2001-09-01,28.7
2001-10-01,3.4
2001-11-01,40.4
2001-12-01,95.1
2002-01-01,40.6
2002-02-01,58.7
2002-03-01,41.6
2002-04-01,39.8
2002-05-01,31.8
2002-06-01,20.6
2002-07-01,13.1
2002-08-01,13.7
2002-09-01,3.9
2002-10-01,0.2
2002-11-01,-15.8
2002-12-01,-21.4
2003-01-01,-36.8
2003-02-01,-55.9
2003-03-01,-28.8
2003-04-01,-38.4
2003-05-01,-38.4
2003-06-01,-23.2
2003-07-01,-13.2
2003-08-01,-10.9
2003-09-01,-5.1
2003-10-01,5.5
2003-11-01,10.8
2003-12-01,14.8
2004-01-01,27.4
2004-02-01,62.8
2004-03-01,30.8
2004-04-01,42.5
2004-05-01,30.4
2004-06-01,7.2
2004-07-01,6.1
2004-08-01,12.1
2004-09-01,7.4
2004-10-01,4.1
2004-11-01,7.4
2004-12-01,6.8
2005-01-01,15.0
2005-02-01,48.3
2005-03-01,34.0
2005-04-01,24.9
2005-05-01,22.8
2005-06-01,20.3
2005-07-01,10.0
2005-08-01,2.4
2005-09-01,0.6
2005-10-01,0.0
2005-11-01,3.2
2005-12-01,3.1
2006-01-01,35.6
2006-02-01,24.4
2006-03-01,22.8
2006-04-01,31.0
2006-05-01,11.4
2006-06-01,3.3
2006-07-01,-1.8
2006-08-01,-1.4
2006-09-01,4.6
2006-10-01,2.4
2006-11-01,1.6
2006-12-01,8.1
2007-01-01,-23.9
2007-02-01,-34.6
2007-03-01,-8.4
2007-04-01,-11.0
2007-05-01,6.8
2007-06-01,7.9
2007-07-01,19.2
2007-08-01,9.7
2007-09-01,-1.2
2007-10-01,1.2
2007-11-01,-1.3
2007-12-01,-17.2
2008-01-01,-15.8
2008-02-01,-15.4
2008-03-01,-32.7
2008-04-01,-32.8
2008-05-01,-24.5
2008-06-01,-17.8
2008-07-01,-17.6
2008-08-01,-7.6
2008-09-01,1.8
2008-10-01,0.5
2008-11-01,4.3
2008-12-01,19.6
2009-01-01,33.5
2009-02-01,73.7
2009-03-01,76.2
2009-04-01,78.1
2009-05-01,46.5
2009-06-01,37.0
2009-07-01,31.9
2009-08-01,13.6
2009-09-01,5.1
2009-10-01,2.3
2009-11-01,5.3
2009-12-01,-4.4
2010-01-01,-12.0
2010-02-01,-38.5
2010-03-01,-34.2
2010-04-01,-17.1
2010-05-01,-12.6
2010-06-01,-9.2
2010-07-01,-7.4
2010-08-01,-7.3
2010-09-01,-4.8
2010-10-01,4.0
2010-11-01,-5.4
2010-12-01,-9.1
2011-01-01,-15.8
2011-02-01,-4.3
2011-03-01,-30.1
2011-04-01,-35.0
2011-05-01,-25.3
2011-06-01,-19.4
2011-07-01,-17.9
2011-08-01,-8.5
2011-09-01,0.7
2011-10-01,0.6
2011-11-01,6.8
2011-12-01,28.2
2012-01-01,61.5
2012-02-01,72.4
2012-03-01,163.0
2012-04-01,106.3
2012-05-01,56.4
2012-06-01,35.0
2012-07-01,30.7
2012-08-01,22.0
2012-09-01,5.9
2012-10-01,-0.8
2012-11-01,-4.9
2012-12-01,-11.5
2013-01-01,-20.6
2013-02-01,-30.8
2013-03-01,-56.6
2013-04-01,-51.8
2013-05-01,-38.9
2013-06-01,-29.6
2013-07-01,-17.9
2013-08-01,-10.1
2013-09-01,-8.3
2013-10-01,-7.6
2013-11-01,-14.1
2013-12-01,-23.7
2014-01-01,-25.6
2014-02-01,-11.3
2014-03-01,19.2
2014-04-01,18.4
2014-05-01,-5.8
2014-06-01,-5.5
2014-07-01,-6.1
2014-08-01,-9.7
2014-09-01,-5.9
2014-10-01,-0.5
2014-11-01,0.7
2014-12-01,22.9
2015-01-01,31.1
2015-02-01,0.6
2015-03-01,5.6
2015-04-01,2.2
2015-05-01,22.3
2015-06-01,16.0
2015-07-01,14.5
2015-08-01,14.8
2015-09-01,14.3
2015-10-01,9.9
2015-11-01,15.3
2015-12-01,13.6
2016-01-01,5.1
2016-02-01,45.4
2016-03-01,52.9
2016-04-01,59.7
2016-05-01,43.3
2016-06-01,25.4
2016-07-01,9.5
2016-08-01,1.0
2016-09-01,-4.5
2016-10-01,-4.6
2016-11-01,1.6
2016-12-01,-8.8
2017-01-01,-0.9
2017-02-01,15.8
2017-03-01,-0.5
2017-04-01,4.1
2017-05-01,4.3
2017-06-01,4.0
2017-07-01,-2.0
2017-08-01,-4.8
2017-09-01,-7.1
2017-10-01,-6.3
2017-11-01,-4.8
2017-12-01,-7.1
2018-01-01,-15.7
2018-02-01,-42.5
2018-03-01,-51.7
2018-04-01,-57.3
2018-05-01,-50.7
2018-06-01,-39.5
2018-07-01,-27.7
2018-08-01,-12.2
2018-09-01,-2.5
2018-10-01,-4.6
2018-11-01,-12.1
2018-12-01,-5.3
2019-01-01,-8.6
2019-02-01,-19.2
2019-03-01,-21.5
2019-04-01,19.9
2019-05-01,29.4
2019-06-01,29.2
2019-07-01,24.3
2019-08-01,17.6
2019-09-01,11.2
2019-10-01,3.4
2019-11-01,8.2
2019-12-01,19.8
2020-01-01,36.6
2020-02-01,63.4
2020-03-01,91.5
2020-04-01,53.5
2020-05-01,31.8
2020-06-01,20.5
2020-07-01,7.5
2020-08-01,-1.3
2020-09-01,1.1
2020-10-01,-0.1
2020-11-01,5.0
2020-12-01,3.6
2021-01-01,6.4
2021-02-01,10.4
2021-03-01,14.8
2021-04-01,-12.2
2021-05-01,-6.8
2021-06-01,-9.0
2021-07-01,1.7
2021-08-01,-0.4
2021-09-01,-3.0
2021-10-01,4.3
2021-11-01,-0.4
2021-12-01,0.4
2022-01-01,-6.1
2022-02-01,-5.5
2022-03-01,-21.5
2022-04-01,-13.0
2022-05-01,-22.4
2022-06-01,-11.5
2022-07-01,-15.3
2022-08-01,-9.9
2022-09-01,-2.8
2022-10-01,-1.2
2022-11-01,-4.6
2022-12-01,-15.0
2023-01-01,-0.8
2023-02-01,25.1
2023-03-01,44.9
2023-04-01,51.3
2023-05-01,47.6
2023-06-01,24.1
2023-07-01,20.4
2023-08-01,13.3
2023-09-01,4.5
2023-10-01,2.2
2023-11-01,4.6
2023-12-01,20.1
2024-01-01,12.6
2024-02-01,23.1
2024-03-01,35.6
2024-04-01,22.9
2024-05-01,10.5
2024-06-01,6.8
2024-07-01,-0.2
2024-08-01,4.5
2024-09-01,0.4
2024-10-01,2.0
2024-11-01,3.3
2024-12-01,-5.9
2025-01-01,-10.5
2025-02-01,-30.7
2025-03-01,-31.9
2025-04-01,-33.3
2025-05-01,-25.4
2025-06-01,-13.8
2025-07-01,-5.4
2025-08-01,-6.5
2025-09-01,2.0
2025-10-01,-0.3
2025-11-01,-1.3
2025-12-01,2.8
2026-01-01,-2.6
2026-02-01,12.5
