Date,Value
2001-01-01,2676998
2001-02-01,2309464
2001-03-01,2246633
2001-04-01,1807170
2001-05-01,1522382
2001-06-01,1444378
2001-07-01,1598071
2001-08-01,1669178
2001-09-01,1494128
2001-10-01,1649073
2001-11-01,1700950
2001-12-01,2120198
2002-01-01,2487638
2002-02-01,2242427
2002-03-01,2258431
2002-04-01,1880985
2002-05-01,1611453
2002-06-01,1591373
2002-07-01,1748435
2002-08-01,1725712
2002-09-01,1542170
2002-10-01,1645873
2002-11-01,1913629
2002-12-01,2378895
2003-01-01,2700545
2003-02-01,2500315
2003-03-01,2197936
2003-04-01,1743530
2003-05-01,1514697
2003-06-01,1368369
2003-07-01,1600484
2003-08-01,1651580
2003-09-01,1428554
2003-10-01,1553189
2003-11-01,1753642
2003-12-01,2263659
2004-01-01,2675834
2004-02-01,2511097
2004-03-01,2100921
2004-04-01,1745171
2004-05-01,1573043
2004-06-01,1483684
2004-07-01,1584933
2004-08-01,1577962
2004-09-01,1482150
2004-10-01,1557224
2004-11-01,1782796
2004-12-01,2327730
2005-01-01,2561858
2005-02-01,2242986
2005-03-01,2205787
2005-04-01,1724877
2005-05-01,1522613
2005-06-01,1534122
2005-07-01,1686609
2005-08-01,1695102
2005-09-01,1422495
2005-10-01,1428227
2005-11-01,1663400
2005-12-01,2326360
2006-01-01,2165268
2006-02-01,2144378
2006-03-01,2126369
2006-04-01,1681005
2006-05-01,1526297
2006-06-01,1550879
2006-07-01,1758733
2006-08-01,1751683
2006-09-01,1462070
2006-10-01,1644231
2006-11-01,1765375
2006-12-01,2122784
2007-01-01,2475594
2007-02-01,2566993
2007-03-01,2128845
2007-04-01,1810079
2007-05-01,1559080
2007-06-01,1555226
2007-07-01,1659882
2007-08-01,1896137
2007-09-01,1590484
2007-10-01,1627791
2007-11-01,1834529
2007-12-01,2399154
2008-01-01,2733970
2008-02-01,2503421
2008-03-01,2278151
2008-04-01,1823867
2008-05-01,1576387
2008-06-01,1604249
2008-07-01,1708641
2008-08-01,1682924
2008-09-01,1460924
2008-10-01,1635827
2008-11-01,1868947
2008-12-01,2399702
2009-01-01,2729715
2009-02-01,2332539
2009-03-01,2170709
2009-04-01,1741293
2009-05-01,1504000
2009-06-01,1527833
2009-07-01,1657997
2009-08-01,1736462
2009-09-01,1574975
2009-10-01,1666520
2009-11-01,1776171
2009-12-01,2491864
2010-01-01,2809788
2010-02-01,2480950
2010-03-01,2142925
2010-04-01,1691813
2010-05-01,1617274
2010-06-01,1649515
2010-07-01,1825828
2010-08-01,1878926
2010-09-01,1637491
2010-10-01,1664938
2010-11-01,1973294
2010-12-01,2714054
2011-01-01,2888640
2011-02-01,2452403
2011-03-01,2230493
2011-04-01,1825023
2011-05-01,1667396
2011-06-01,1657334
2011-07-01,1890515
2011-08-01,1891783
2011-09-01,1655634
2011-10-01,1744454
2011-11-01,2031872
2011-12-01,2541878
2012-01-01,2756180
2012-02-01,2500654
2012-03-01,2127761
2012-04-01,1953071
2012-05-01,1873835
2012-06-01,1868356
2012-07-01,2069773
2012-08-01,2008815
2012-09-01,1807208
2012-10-01,1901084
2012-11-01,2167841
2012-12-01,2503907
2013-01-01,2878785
2013-02-01,2567155
2013-03-01,2521108
2013-04-01,1967458
2013-05-01,1752469
2013-06-01,1742917
2013-07-01,1926330
2013-08-01,1927379
2013-09-01,1766973
2013-10-01,1866762
2013-11-01,2316909
2013-12-01,2920826
2014-01-01,3204129
2014-02-01,2741240
2014-03-01,2557890
2014-04-01,1961678
2014-05-01,1810222
2014-06-01,1745351
2014-07-01,1881017
2014-08-01,1933061
2014-09-01,1809291
2014-10-01,1912810
2014-11-01,2357521
2014-12-01,2679165
2015-01-01,3114982
2015-02-01,2925172
2015-03-01,2591329
2015-04-01,2007922
2015-05-01,1858149
2015-06-01,1899906
2015-07-01,2067714
2015-08-01,2052728
2015-09-01,1901337
2015-10-01,1987310
2015-11-01,2249140
2015-12-01,2588168
2016-01-01,3091695
2016-02-01,2652260
2016-03-01,2356298
2016-04-01,2083848
2016-05-01,1965799
2016-06-01,2000656
2016-07-01,2186616
2016-08-01,2208375
2016-09-01,1947752
