Date,Value
1967-01-01,-3716
1968-01-01,-3891
1969-01-01,-3880
1970-01-01,-4044
1971-01-01,-4659
1972-01-01,-4521
1973-01-01,-4477
1974-01-01,-4217
1975-01-01,-3223
1976-01-01,-1665
1977-01-01,-672
1978-01-01,0
1979-01-01,-706
1980-01-01,-686
1981-01-01,-904
1982-01-01,-1694
1983-01-01,-1646
1984-01-01,-1757
1985-01-01,-1813
1986-01-01,-1525
1987-01-01,-1757
1988-01-01,-1905
1989-01-01,-1469
1990-01-01,-1676
1991-01-01,-1597
1992-01-01,-2565
1993-01-01,-3253
1994-01-01,-2459
1995-01-01,-42
1996-01-01,-3405
1997-01-01,-3901
1998-01-01,-4166
1999-01-01,-4279
2000-01-01,-9099
2001-01-01,-8452
2002-01-01,-11257
2003-01-01,-26205
2004-01-01,-28875
2005-01-01,-28713
2006-01-01,-40113
2007-01-01,-39524
2008-01-01,-46581
2009-01-01,-44152
2010-01-01,-43836
2011-01-01,-42026
2012-01-01,-43838
2013-01-01,-50729
2014-01-01,-60930
2015-01-01,-92208
2016-01-01,-119177
2017-01-01,-118688
2018-01-01,-128126
2019-01-01,-116204
2020-01-01,-124264
2021-01-01,-101652
2022-01-01,-66601
2023-01-01,-60247
2024-01-01,-81257
