Date,Value
1979-01-01,1
1980-01-01,1
1986-01-01,20
1987-01-01,-2
1988-01-01,8
1989-01-01,1
1990-01-01,-7
1991-01-01,0
1992-01-01,1
1993-01-01,8
1994-01-01,0
1995-01-01,0
1996-01-01,0
1997-01-01,10
1998-01-01,4
1999-01-01,-1
2000-01-01,-3
2001-01-01,1
2002-01-01,-2
2003-01-01,1
2004-01-01,0
2005-01-01,-1
2006-01-01,1
2007-01-01,-1
2008-01-01,0
2009-01-01,2
2010-01-01,0
2011-01-01,1
2012-01-01,0
2013-01-01,3
2014-01-01,2
2015-01-01,-1
2016-01-01,47
2017-01-01,-52
2018-01-01,1
2019-01-01,0
2020-01-01,9
2021-01-01,40
