Date,Value
1967-01-01,35.0
1968-01-01,99.0
1969-01-01,241.0
1970-01-01,452.0
1976-01-01,1085.0
1977-01-01,2860.0
1978-01-01,2718.0
1979-01-01,3383.0
1980-01-01,3134.0
1981-01-01,3805.0
1982-01-01,8304.0
1983-01-01,11042.0
1984-01-01,12557.0
1985-01-01,14769.0
1986-01-01,18238.0
1987-01-01,17850.0
1988-01-01,23444.0
1989-01-01,28256.0
1990-01-01,28540.0
1991-01-01,30689.0
1992-01-01,29996.0
1993-01-01,31179.0
1994-01-01,33961.0
1995-01-01,30949.0
1996-01-01,22601.0
1997-01-01,17724.0
1998-01-01,14002.0
1999-01-01,13793.0
2000-01-01,13988.0
2001-01-01,12758.0
2002-01-01,10050.0
2003-01-01,4062.0
2004-01-01,1307.0
2005-01-01,478.0
2006-01-01,301.0
2007-01-01,311.0
2008-01-01,475.0
2009-01-01,783.0
2010-01-01,736.0
2011-01-01,531.0
2012-01-01,0.0
2013-01-01,0.0
2014-01-01,
2015-01-01,0.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,0.0
2020-01-01,0.0
2021-01-01,0.0
2022-01-01,0.0
2023-01-01,0.0
2024-01-01,0.0
