Date,Value
1989-01-01,160181
1990-01-01,170024
1991-01-01,150020
1992-01-01,158660
1993-01-01,241067
1994-01-01,314415
1995-01-01,332425
1996-01-01,312064
1997-01-01,298489
1998-01-01,287827
1999-01-01,271192
2000-01-01,373951
2001-01-01,514268
2002-01-01,600869
2003-01-01,598602
2004-01-01,629811
2005-01-01,629943
2006-01-01,665152
2007-01-01,666837
2008-01-01,648305
2009-01-01,614795
2010-01-01,576634
2011-01-01,491294
2012-01-01,462284
2013-01-01,445201
2014-01-01,410673
2015-01-01,449651
2016-01-01,392737
2017-01-01,298657
2018-01-01,265279
2019-01-01,256564
2020-01-01,291136
2021-01-01,338331
2022-01-01,339713
2023-01-01,341491
2024-01-01,289444
