Date,Value
1992-01-01,
1993-01-01,
1994-01-01,
1995-01-01,
1996-01-01,
1997-01-01,
1998-01-01,5.69
1999-01-01,6.95
2000-01-01,5.82
2001-01-01,5.82
2002-01-01,5.82
2003-01-01,5.82
2004-01-01,8.19
2005-01-01,11.87
2006-01-01,13.4
2007-01-01,13.3
2008-01-01,12.76
2009-01-01,7.97
2010-01-01,8.58
2011-01-01,9.31
2012-01-01,9.09
2013-01-01,10.84
2014-01-01,12.5
2015-01-01,10.44
2016-01-01,4.63
2017-01-01,8.74
2018-01-01,8.52
2019-01-01,9.13
2020-01-01,8.2
2021-01-01,11.42
2022-01-01,13.27
2023-01-01,8.53
2024-01-01,6.2
2025-01-01,
